femtofem,maletomale,femalelike,malelike,femaletomale,maletofemale
1.3793103,0,0,0,90.34482759,93.33333333
4.7619048,4.5454545,6.6666667,0,71.42857143,43.18181818
5.4945055,5.2631579,9.0909091,0,73.62637363,84.21052632
11.2359551,7.3170732,10,0,60.6741573,24.3902439
13.8888889,11.627907,10.3448276,7.1428571,50,24.41860465
15.5844156,14.5833333,12.195122,8.3333333,3.896103896,52.08333333
18.5840708,18.6046512,17.1428571,9.6153846,25.66371681,16.86046512
18.627451,19.4174757,17.5,11.3636364,60.78431373,55.33980583
26.0416667,20,18.1818182,14.2857143,56.25,54.66666667
27.7227723,20.9302326,22.4489796,14.2857143,40.59405941,51.1627907
27.7777778,22.2222222,24,18.75,48.61111111,50
29.1139241,22.6415094,24.0506329,20,30.37974684,32.0754717
30.1886792,23.9130435,25.2173913,20,13.20754717,35.86956522
30.1886792,25,25.5319149,25,30.18867925,37.5
32.6086957,32.3308271,26.3157895,32.8767123,2.173913043,54.88721805
32.8358209,35.7142857,28.0898876,33.3333333,23.88059701,42.85714286
32.8767123,36.8794326,29.1666667,33.3333333,21.91780822,48.93617021
37.1794872,37.037037,31.3559322,40.9090909,21.79487179,12.96296296
38.6363636,40.7894737,34.7222222,41.9354839,17.04545455,15.78947368
41.7721519,43.75,34.7826087,45,20.25316456,37.5
46.5116279,48.7179487,34.7826087,47.3684211,31.00775194,5.128205128
48.9795918,48.8888889,36.3636364,50,6.12244898,13.33333333
52.5,55.2631579,36.3636364,50,15,5.263157895
52.9411765,56.5891473,43.75,55.8139535,15.68627451,13.17829457
53.2608696,83.0508475,44.8275862,66.6666667,6.52173913,0
55.4054054,,45,,8.108108108,
56.097561,,46.8085106,,12.19512195,
58,,47.3684211,,18,
58.1632653,,48.1481481,,5.102040816,
61.5384615,,49.1525424,,3.418803419,
62.5,,50,,8.928571429,
63.5135135,,50,,2.702702703,
66.2921348,,50,,11.23595506,
70,,52.3809524,,1.428571429,
73.015873,,52.9411765,,5.555555556,
77.0491803,,53.4246575,,3.278688525,
80,,55,,7.272727273,
80.2721088,,56.25,,5.442176871,
81.6326531,,57.1428571,,0,
84.0425532,,57.1428571,,2.127659574,
85.5769231,,60,,1.923076923,
85.8823529,,64.2857143,,1.176470588,
89.1472868,,75,,1.550387597,
95.2380952,,80,,0,
100,,100,,1.123595506,