subject,english-words,total,one,two,three,four,ee-score,ctopp,mint-eng,vf-eng
35,1702,22.3266745,9.988249119,2.350176263,4.700352526,5.287896592,0.636363636,18,53,41
36,1445,30.44982699,6.228373702,1.384083045,3.460207612,19.37716263,0.5,15,66,55
37,1685,38.57566766,10.08902077,0.59347181,2.96735905,24.92581602,0.5625,16,56,40
38,2218,27.95311091,3.606853021,0.901713255,9.467989179,13.97655546,0.727272727,17,59,61
39,3657,31.44654088,5.742411813,0.820344545,13.67240908,11.21137544,0.6,11,55,61
41,2717,33.49282297,5.520794994,1.104158999,7.361059993,19.50680898,0.692307692,18,60,59
42,1593,22.59887006,8.160703076,0.62774639,8.160703076,5.649717514,0.75,16,59,42
43,1646,31.59173755,7.290400972,3.645200486,9.113001215,11.54313487,0.636363636,15,61,60
44,3130,18.21086262,6.07028754,0.638977636,6.07028754,5.431309904,0.8,20,59,53
45,3021,51.30751407,4.634227077,1.986097319,24.16418405,20.52300563,0.4,12,56,45
46,2043,21.0474792,10.76847773,0.48947626,2.447381302,7.342143906,1,12,56,37
47,829,27.74427021,8.443908323,1.206272618,6.031363088,12.06272618,0.571428571,16,55,49
48,1038,31.79190751,7.707129094,0,10.5973025,13.48747592,0.6,20,63,53
49,942,36.09341826,7.430997877,1.061571125,12.7388535,14.86199575,0.5,15,57,44
50,2653,20.35431587,5.65397663,1.884658877,5.277044855,7.538635507,0.666666667,14,60,79
52,1391,19.41049605,2.875629044,1.437814522,7.907979871,7.18907261,0.777777778,20,61,57
53,1092,19.23076923,1.831501832,3.663003663,4.578754579,9.157509158,0.75,17,62,57
54,987,25.32928065,6.079027356,1.013171226,6.079027356,12.15805471,0.428571429,17,55,50
55,2068,4.835589942,2.417794971,0,1.450676983,0.967117988,1,17,60,37
56,1792,19.53125,6.696428571,0,3.90625,8.928571429,0.875,17,58,53
57,3112,8.676092545,1.606683805,0.642673522,2.892030848,3.53470437,0.727272727,14,64,64
58,2082,24.49567723,4.803073967,0.480307397,12.96829971,6.243996158,0.777777778,16,57,38
60,552,3.623188406,0,1.811594203,0,1.811594203,0.571428571,18,61,50
61,235,0,0,0,0,0,1,19,37,25
62,1418,26.09308886,4.231311707,0,13.39915374,8.462623413,0.666666667,23,64,50
63,135,0,0,0,0,0,0.5,12,48,46
64,1817,34.67253715,5.503577325,1.651073198,13.75894331,13.75894331,1,21,58,54
65,1402,26.39087019,5.706134094,0.713266762,11.41226819,8.559201141,0.833333333,21,59,50
66,861,41.81184669,9.291521487,1.161440186,11.61440186,19.74448316,0.6,14,55,34
67,449,2.227171492,0,0,2.227171492,0,0.666666667,19,55,50
68,5055,9.891196835,4.154302671,1.384767557,1.18694362,3.165182987,0.363636364,16,61,59
69,633,6.319115324,0,3.159557662,3.159557662,0,0.75,17,66,76
70,1611,18.00124146,3.103662322,1.862197393,3.103662322,9.931719429,0.636363636,17,54,33
71,2759,17.03515767,0.362450163,0,13.41065603,3.262051468,0.5,18,62,70
72,846,10.63829787,4.728132388,0,2.364066194,3.546099291,0.416666667,19,60,39
73,445,8.988764045,2.247191011,0,6.741573034,0,0.588235294,18,62,45
74,7,0,0,0,0,0,,18,42,47
75,3340,31.73652695,6.586826347,2.095808383,9.580838323,13.47305389,0.5,16,59,48
76,3063,28.40352595,11.42670584,1.632386549,6.529546197,8.814887365,0.857142857,16,59,51
77,1321,55.26116578,15.14004542,2.271006813,12.11203634,25.73807721,0.666666667,15,58,58
78,1398,18.59799714,5.722460658,0,5.722460658,7.153075823,1,22,64,87
79,1073,27.95899348,12.11556384,2.795899348,2.795899348,10.25163094,0.769230769,15,56,61
80,2807,58.06911293,18.16886356,2.493765586,16.38760242,21.01888137,0.714285714,16,55,48
81,700,20,5.714285714,0,7.142857143,7.142857143,,20,62,40
82,607,18.12191104,3.294892916,1.647446458,1.647446458,11.53212521,0.571428571,15,57,63
83,553,12.65822785,3.616636528,0,9.04159132,0,0.625,15,60,52